"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"29","Mark Andrews (BAL)","3","2","22","16","30","5","4","0","3","2","0","0","2","0","0","0","0"
"30","Will Dissly (LAC)","3","2","20","5","5","15","5","0","2","2","0","0","1","0","0","0","0"
"31","Josh Whyle (TEN)","3","2","19","12","13","7","2","0","2","2","0","0","1","0","0","0","0"
"32","Austin Hooper (NE)","3","1","18","0","2","18","5","0","3","2","0","0","1","0","0","0","0"
"33","Erick All Jr. (CIN)","3","3","18","8","8","10","3","0","3","3","0","0","0","0","0","0","0"
"34","Hayden Hurst (LAC)","3","2","18","12","15","5","2","0","2","2","0","0","0","0","0","0","0"
"35","Tommy Tremble (CAR)","2","3","26","16","21","11","3","0","4","3","0","0","1","1","0","0","0"
"36","Noah Gray (KC)","3","1","17","9","13","8","2","0","2","1","0","1","1","0","0","0","0"
"37","Kylen Granson (IND)","3","1","16","6","13","10","0","0","1","1","0","0","0","0","0","0","0"
"38","Dalton Schultz (HOU)","3","2","16","9","28","7","1","0","4","2","0","0","0","0","0","0","0"
"39","Luke Schoonmaker (DAL)","3","2","16","7","12","9","3","0","3","2","0","0","0","0","0","0","0"
"40","David Njoku (CLE)","1","4","44","16","21","28","13","0","5","5","1","0","1","1","0","0","0"
"41","Brock Wright (DET)","3","2","12","6","9","6","2","0","2","2","0","0","1","0","0","0","0"
"42","Theo Johnson (NYG)","3","1","10","3","14","7","1","0","2","1","1","0","1","0","0","0","0"
"43","Grant Calcaterra (PHI)","3","1","10","6","6","4","2","0","1","1","0","0","1","0","0","0","0"
"44","Julian Hill (MIA)","3","1","10","5","17","5","4","1","2","1","0","1","1","0","0","0","0"
"45","Dawson Knox (BUF)","3","1","10","3","8","7","1","0","1","1","0","0","0","0","0","0","0"
"46","Cade Otton (TB)","3","3","17","9","13","8","3","0","4","3","0","1","1","0","0","0","0"
"47","Greg Dulcich (DEN)","3","2","9","4","24","5","1","0","4","2","1","0","0","0","0","0","0"
"48","Drew Sample (CIN)","3","1","9","3","3","6","1","0","1","1","0","0","0","0","0","0","0"
"49","Michael Mayer (LV)","3","1","7","4","10","3","1","0","2","1","0","0","0","0","0","0","0"
"50","Jeremy Ruckert (NYJ)","3","1","5","1","5","4","1","0","2","1","0","0","0","0","0","0","0"
"51","Luke Farrell (JAC)","3","1","5","3","4","2","0","0","1","1","0","0","0","0","0","0","0"
"52","AJ Barner (SEA)","3","1","4","1","1","4","2","0","1","1","0","0","0","0","0","0","0"
"53","Ja'Tavion Sanders (CAR)","3","1","4","0","2","4","0","0","1","1","0","0","0","0","0","0","0"
"54","Durham Smythe (MIA)","3","1","4","2","9","1","0","0","2","1","0","1","0","0","0","0","0"
"55","Luke Musgrave (GB)","3","1","3","0","11","3","0","0","1","1","0","0","0","0","0","0","0"
"56","Evan Engram (JAC)","1","1","5","4","18","1","0","0","4","1","0","0","0","0","0","0","0"
"57","Gerald Everett (CHI)","3","1","0","-3","5","3","0","0","2","1","0","0","0","0","0","0","0"
""
""
